id,timestamp,target_id,temperature,cpu_load
51b88e2ce44211e58384b827eb1899c4,1457340919468.0,pi0,49.2,100.0
51f41212e44211e58384b827eb1899c4,1457340919858.0,pi0,49.8,100.0
522fcceee44211e58384b827eb1899c4,1457340920249.0,pi0,49.8,100.0
52680988e44211e58384b827eb1899c4,1457340920618.0,pi0,49.2,100.0
52a20354e44211e58384b827eb1899c4,1457340920998.0,pi0,49.8,100.0
52df556ae44211e58384b827eb1899c4,1457340921400.0,pi0,49.8,100.0
53188d12e44211e58384b827eb1899c4,1457340921775.0,pi0,48.7,100.0
534ea348e44211e58384b827eb1899c4,1457340922129.0,pi0,49.8,100.0
53a6ffd4e44211e58384b827eb1899c4,1457340922708.0,pi0,49.8,100.0
53f06304e44211e58384b827eb1899c4,1457340923189.0,pi0,48.7,100.0
5427300ae44211e58384b827eb1899c4,1457340923549.0,pi0,49.2,100.0
5468ba34e44211e58384b827eb1899c4,1457340923978.0,pi0,49.2,100.0
54a0ebfce44211e58384b827eb1899c4,1457340924346.0,pi0,49.8,100.0
54dfbe72e44211e58384b827eb1899c4,1457340924758.0,pi0,49.2,100.0
552292b0e44211e58384b827eb1899c4,1457340925196.0,pi0,48.7,100.0
555b5762e44211e58384b827eb1899c4,1457340925568.0,pi0,49.2,100.0
559ba4b6e44211e58384b827eb1899c4,1457340925989.0,pi0,49.2,100.0
55d2722ae44211e58384b827eb1899c4,1457340926348.0,pi0,48.7,100.0
561789aae44211e58384b827eb1899c4,1457340926801.0,pi0,49.8,100.0
565757a6e44211e58384b827eb1899c4,1457340927219.0,pi0,49.2,100.0
568f9422e44211e58384b827eb1899c4,1457340927588.0,pi0,49.2,100.0
56cb11b4e44211e58384b827eb1899c4,1457340927978.0,pi0,49.8,100.0
570ffb8ae44211e58384b827eb1899c4,1457340928430.0,pi0,49.2,100.0
57515b16e44211e58384b827eb1899c4,1457340928858.0,pi0,49.2,100.0
57947f7ce44211e58384b827eb1899c4,1457340929298.0,pi0,49.2,100.0
57ce7c7ce44211e58384b827eb1899c4,1457340929678.0,pi0,49.2,100.0
581018b2e44211e58384b827eb1899c4,1457340930108.0,pi0,49.8,100.0
5847175ee44211e58384b827eb1899c4,1457340930468.0,pi0,49.2,100.0
588ebc9ee44211e58384b827eb1899c4,1457340930938.0,pi0,49.2,100.0
58cd4fcce44211e58384b827eb1899c4,1457340931348.0,pi0,49.2,100.0
590171c6e44211e58384b827eb1899c4,1457340931690.0,pi0,49.2,100.0
59479e26e44211e58384b827eb1899c4,1457340932150.0,pi0,49.2,100.0
598776cce44211e58384b827eb1899c4,1457340932568.0,pi0,49.2,100.0
59c3189ee44211e58384b827eb1899c4,1457340932959.0,pi0,49.2,100.0
59fd14e0e44211e58384b827eb1899c4,1457340933339.0,pi0,49.2,100.0
5a435d6ae44211e58384b827eb1899c4,1457340933799.0,pi0,49.2,100.0
5a84f874e44211e58384b827eb1899c4,1457340934229.0,pi0,49.8,100.0
5abd352ce44211e58384b827eb1899c4,1457340934598.0,pi0,49.8,100.0
5af5ee1ce44211e58384b827eb1899c4,1457340934970.0,pi0,49.2,100.0
5b2e1ff8e44211e58384b827eb1899c4,1457340935338.0,pi0,49.8,100.0
5b6b2ae2e44211e58384b827eb1899c4,1457340935738.0,pi0,49.8,100.0
5bb2e0bce44211e58384b827eb1899c4,1457340936208.0,pi0,49.2,100.0
5bfa9d94e44211e58384b827eb1899c4,1457340936678.0,pi0,49.2,100.0
5c392bfee44211e58384b827eb1899c4,1457340937088.0,pi0,48.7,100.0
5c7c4bb4e44211e58384b827eb1899c4,1457340937528.0,pi0,49.8,100.0
5cb7ccc0e44211e58384b827eb1899c4,1457340937918.0,pi0,49.8,100.0
5ceef6bee44211e58384b827eb1899c4,1457340938280.0,pi0,49.2,100.0
5d28b890e44211e58384b827eb1899c4,1457340938658.0,pi0,49.2,100.0
5d646e6ce44211e58384b827eb1899c4,1457340939049.0,pi0,49.8,100.0
5d99bb26e44211e58384b827eb1899c4,1457340939399.0,pi0,49.8,100.0
5dcaf68ce44211e58384b827eb1899c4,1457340939721.0,pi0,49.8,100.0
5dfa092ce44211e58384b827eb1899c4,1457340940030.0,pi0,49.8,100.0
5e33e7dce44211e58384b827eb1899c4,1457340940409.0,pi0,49.8,100.0
5e5e8dcae44211e58384b827eb1899c4,1457340940689.0,pi0,49.8,100.0
