id,timestamp,target_id,energy,time,peak_power,peak_current,peak_voltage,n_samples,avg_power,avg_current,avg_voltage
5196bc3ee44211e583d0b827ebddf51e,1457340919244.0,pi0,52.34978028872072,8041.139666666667,0.010588459968566895,0.0027685546875,4.40185546875,675455733,0.006510243878206574,0.001898611428690097,3.4273022808472713
5196e484e44211e583d0b827ebddf51e,1457340919246.0,pi1,0.0014129952950988497,8041.139988095238,6.4373016357421875e-06,0.0003662109375,0.0263671875,675455759,1.757207680988969e-07,0.00010228252419084878,0.0016803475368672332
519704c8e44211e583d0b827ebddf51e,1457340919247.0,pi2,0.004591796555604253,8041.140214285714,1.1587142944335938e-05,0.0006005859375,0.0439453125,675455779,5.710379912846897e-07,0.00025897560714165894,0.0021971050921202775
51e0b852e44211e583d0b827ebddf51e,1457340919728.0,pi0,52.352951932937415,8041.621345238095,0.010588459968566895,0.0027685546875,4.40185546875,675496194,0.006510248329951347,0.0018986118264659427,3.427303969820623
51e0df08e44211e583d0b827ebddf51e,1457340919729.0,pi1,0.0014130753935234887,8041.622869047619,6.4373016357421875e-06,0.0003662109375,0.0263671875,675496321,1.757201769511533e-07,0.00010228234915381667,0.0016803462045786905
51e0fcd6e44211e583d0b827ebddf51e,1457340919732.0,pi2,0.00459208211507116,8041.623071428571,1.1587142944335938e-05,0.0006005859375,0.0439453125,675496338,5.710392136366806e-07,0.0002589757825802926,0.002197108615885272
52273e4ee44211e583d0b827ebddf51e,1457340920191.0,pi0,52.35596112489223,8042.08505952381,0.010588459968566895,0.0027685546875,4.40185546875,675535145,0.006510247123398661,0.0018986117139001585,3.427303603975057
5227641ee44211e583d0b827ebddf51e,1457340920193.0,pi1,0.0014131666381869995,8042.085380952381,6.4373016357421875e-06,0.0003662109375,0.0263671875,675535172,1.7572141692676807e-07,0.00010228265648095161,0.0016803541092988328
522781ece44211e583d0b827ebddf51e,1457340920194.0,pi2,0.004592364786693027,8042.085523809524,1.1587142944335938e-05,0.0006005859375,0.0439453125,675535184,5.710415256212833e-07,0.0002589758975391919,0.0021971171684872504
526f80e6e44211e583d0b827ebddf51e,1457340920665.0,pi0,52.3590529799767,8042.557702380953,0.010588459968566895,0.0027685546875,4.40185546875,675574847,0.006510248967747674,0.0018986118160836231,3.4273044625478826
526faa1ce44211e583d0b827ebddf51e,1457340920666.0,pi1,0.0014132463161434445,8042.558047619048,6.4373016357421875e-06,0.0003662109375,0.0263671875,675574876,1.757209966997786e-07,0.00010228253384187055,0.0016803535274993893
526fcdc6e44211e583d0b827ebddf51e,1457340920667.0,pi2,0.00459264384831701,8042.5581785714285,1.1587142944335938e-05,0.0006005859375,0.0439453125,675574887,5.710426640808939e-07,0.0002589761252518766,0.0021971199385320233
52c3c066e44211e583d0b827ebddf51e,1457340921216.0,pi0,52.362706434709004,8043.108107142857,0.010588459968566895,0.0027685546875,4.40185546875,675621081,0.006510257693565894,0.0018986126506329343,3.4273076063090504
52c3ed52e44211e583d0b827ebddf51e,1457340921218.0,pi1,0.0014133348333835601,8043.108571428572,6.4373016357421875e-06,0.0003662109375,0.0263671875,675621120,1.7571997453871637e-07,0.00010228221657394818,0.0016803503176073282
52c40fd0e44211e583d0b827ebddf51e,1457340921219.0,pi2,0.004592957320383616,8043.108904761904,1.1587142944335938e-05,0.0006005859375,0.0439453125,675621148,5.710425377510885e-07,0.0002589762367936217,0.002197118869855938
5315e710e44211e583d0b827ebddf51e,1457340921756.0,pi0,52.36627889392682,8043.646214285714,0.010588459968566895,0.0027685546875,4.40185546875,675666282,0.0065102663019816825,0.0018986135143405794,3.4273106117363064
53161172e44211e583d0b827ebddf51e,1457340921757.0,pi1,0.001413423831633159,8043.646476190476,6.4373016357421875e-06,0.0003662109375,0.0263671875,675666304,1.757192879892163e-07,0.00010228202484170304,0.0016803483936564916
531630dae44211e583d0b827ebddf51e,1457340921758.0,pi2,0.004593275293452399,8043.646619047619,1.1587142944335938e-05,0.0006005859375,0.0439453125,675666316,5.710438947647665e-07,0.00025897636095174463,0.0021971233804319265
5364b2f0e44211e583d0b827ebddf51e,1457340922272.0,pi0,52.369726517137885,8044.161523809524,0.010588459968566895,0.0027685546875,4.40185546875,675709568,0.006510277840907504,0.0018986147137802182,3.4273145352012495
5364d8d4e44211e583d0b827ebddf51e,1457340922273.0,pi1,0.0014135075025047575,8044.161821428572,6.4373016357421875e-06,0.0003662109375,0.0263671875,675709594,1.757184320607975e-07,0.00010228173947793614,0.0016803461591757328
5364f68ee44211e583d0b827ebddf51e,1457340922274.0,pi2,0.004593577180930546,8044.162,1.1587142944335938e-05,0.0006005859375,0.0439453125,675709608,5.710448373529208e-07,0.00025897640281582275,0.0021971270011999465
53f90572e44211e583d0b827ebddf51e,1457340923244.0,pi0,52.376119563328025,8045.131773809524,0.010588459968566895,0.0027685546875,4.40185546875,675791070,0.006510287343438619,0.0018986155459170912,3.4273181217951
53f92b56e44211e583d0b827ebddf51e,1457340923245.0,pi1,0.001413665799839156,8045.132107142857,6.4373016357421875e-06,0.0003662109375,0.0263671875,675791097,1.7571691564692085e-07,0.00010228129498432719,0.0016803413136811881
53f948e8e44211e583d0b827ebddf51e,1457340923246.0,pi2,0.004594129502688135,8045.13225,1.1587142944335938e-05,0.0006005859375,0.0439453125,675791109,5.71044621757229e-07,0.00025897668329602963,0.0021971243528558226
54453c58e44211e583d0b827ebddf51e,1457340923743.0,pi0,52.37931660886236,8045.630130952381,0.010588459968566895,0.0027685546875,4.40185546875,675832931,0.006510281451710494,0.0018986148898602457,3.427316279522651
